WORKER              STATE       BATCHES   UPDATED
worker-0000         running     100       2026-09-02
worker-0001         idle        101       2026-09-02
worker-0002         draining    102       2026-09-02
worker-0003         running     103       2026-09-02
worker-0004         idle        104       2026-09-02
worker-0005         draining    105       2026-09-02
worker-0006         running     106       2026-09-02
worker-0007         idle        107       2026-09-02
worker-0008         draining    108       2026-09-02
worker-0009         running     109       2026-09-02
worker-0010         idle        110       2026-09-02
worker-0011         draining    111       2026-09-02
worker-0012         running     112       2026-09-02
worker-0013         idle        113       2026-09-02
worker-0014         draining    114       2026-09-02
worker-0015         running     115       2026-09-02
worker-0016         idle        116       2026-09-02
worker-0017         draining    117       2026-09-02
worker-0018         running     118       2026-09-02
worker-0019         idle        119       2026-09-02
worker-0020         draining    120       2026-09-02
worker-0021         running     121       2026-09-02
worker-0022         idle        122       2026-09-02
worker-0023         draining    123       2026-09-02
worker-0024         running     124       2026-09-02
worker-0025         idle        125       2026-09-02
worker-0026         draining    126       2026-09-02
worker-0027         running     127       2026-09-02
worker-0028         idle        128       2026-09-02
worker-0029         draining    129       2026-09-02
worker-0030         running     130       2026-09-02
worker-0031         idle        131       2026-09-02
worker-0032         draining    132       2026-09-02
worker-0033         running     133       2026-09-02
worker-0034         idle        134       2026-09-02
worker-0035         draining    135       2026-09-02
worker-0036         running     136       2026-09-02
worker-0037         idle        137       2026-09-02
worker-0038         draining    138       2026-09-02
worker-0039         running     139       2026-09-02
worker-0040         idle        140       2026-09-02
worker-0041         draining    141       2026-09-02
worker-0042         running     142       2026-09-02
worker-0043         idle        143       2026-09-02
worker-0044         draining    144       2026-09-02
worker-0045         running     145       2026-09-02
worker-0046         idle        146       2026-09-02
worker-0047         draining    147       2026-09-02
worker-0048         running     148       2026-09-02
worker-0049         idle        149       2026-09-02
worker-0050         draining    150       2026-09-02
worker-0051         running     151       2026-09-02
worker-0052         idle        152       2026-09-02
worker-0053         draining    153       2026-09-02
worker-0054         running     154       2026-09-02
worker-0055         idle        155       2026-09-02
worker-0056         draining    156       2026-09-02
worker-0057         running     157       2026-09-02
worker-0058         idle        158       2026-09-02
worker-0059         draining    159       2026-09-02
worker-0060         running     160       2026-09-02
worker-0061         idle        161       2026-09-02
worker-0062         draining    162       2026-09-02
worker-0063         running     163       2026-09-02
worker-0064         idle        164       2026-09-02
worker-0065         draining    165       2026-09-02
worker-0066         running     166       2026-09-02
worker-0067         idle        167       2026-09-02
worker-0068         draining    168       2026-09-02
worker-0069         running     169       2026-09-02
worker-0070         idle        170       2026-09-02
worker-0071         draining    171       2026-09-02
worker-0072         running     172       2026-09-02
worker-0073         idle        173       2026-09-02
worker-0074         draining    174       2026-09-02
worker-0075         running     175       2026-09-02
worker-0076         idle        176       2026-09-02
worker-0077         draining    177       2026-09-02
worker-0078         running     178       2026-09-02
worker-0079         idle        179       2026-09-02
worker-0080         draining    180       2026-09-02
worker-0081         running     181       2026-09-02
worker-0082         idle        182       2026-09-02
worker-0083         draining    183       2026-09-02
worker-0084         running     184       2026-09-02
worker-0085         idle        185       2026-09-02
worker-0086         draining    186       2026-09-02
worker-0087         running     187       2026-09-02
worker-0088         idle        188       2026-09-02
worker-0089         draining    189       2026-09-02
worker-0090         running     190       2026-09-02
worker-0091         idle        191       2026-09-02
worker-0092         draining    192       2026-09-02
worker-0093         running     193       2026-09-02
worker-0094         idle        194       2026-09-02
worker-0095         draining    195       2026-09-02
worker-0096         running     196       2026-09-02
worker-0097         idle        197       2026-09-02
worker-0098         draining    198       2026-09-02
worker-0099         running     199       2026-09-02
worker-0100         idle        200       2026-09-02
worker-0101         draining    201       2026-09-02
worker-0102         running     202       2026-09-02
worker-0103         idle        203       2026-09-02
worker-0104         draining    204       2026-09-02
worker-0105         running     205       2026-09-02
worker-0106         idle        206       2026-09-02
worker-0107         draining    207       2026-09-02
worker-0108         running     208       2026-09-02
worker-0109         idle        209       2026-09-02
worker-0110         draining    210       2026-09-02
worker-0111         running     211       2026-09-02
worker-0112         idle        212       2026-09-02
worker-0113         draining    213       2026-09-02
worker-0114         running     214       2026-09-02
worker-0115         idle        215       2026-09-02
worker-0116         draining    216       2026-09-02
worker-0117         running     217       2026-09-02
worker-0118         idle        218       2026-09-02
worker-0119         draining    219       2026-09-02
worker-0120         running     220       2026-09-02
worker-0121         idle        221       2026-09-02
worker-0122         draining    222       2026-09-02
worker-0123         running     223       2026-09-02
worker-0124         idle        224       2026-09-02
worker-0125         draining    225       2026-09-02
worker-0126         running     226       2026-09-02
worker-0127         idle        227       2026-09-02
worker-0128         draining    228       2026-09-02
worker-0129         running     229       2026-09-02
worker-0130         idle        230       2026-09-02
worker-0131         draining    231       2026-09-02
worker-0132         running     232       2026-09-02
worker-0133         idle        233       2026-09-02
worker-0134         draining    234       2026-09-02
worker-0135         running     235       2026-09-02
worker-0136         idle        236       2026-09-02
worker-0137         draining    237       2026-09-02
worker-0138         running     238       2026-09-02
worker-0139         idle        239       2026-09-02
worker-0140         draining    240       2026-09-02
worker-0141         running     241       2026-09-02
worker-0142         idle        242       2026-09-02
worker-0143         draining    243       2026-09-02
worker-0144         running     244       2026-09-02
worker-0145         idle        245       2026-09-02
worker-0146         draining    246       2026-09-02
worker-0147         running     247       2026-09-02
worker-0148         idle        248       2026-09-02
worker-0149         draining    249       2026-09-02
worker-0150         running     250       2026-09-02
worker-0151         idle        251       2026-09-02
worker-0152         draining    252       2026-09-02
worker-0153         running     253       2026-09-02
worker-0154         idle        254       2026-09-02
worker-0155         draining    255       2026-09-02
worker-0156         running     256       2026-09-02
worker-0157         idle        257       2026-09-02
worker-0158         draining    258       2026-09-02
worker-0159         running     259       2026-09-02
worker-0160         idle        260       2026-09-02
worker-0161         draining    261       2026-09-02
worker-0162         running     262       2026-09-02
worker-0163         idle        263       2026-09-02
worker-0164         draining    264       2026-09-02
worker-0165         running     265       2026-09-02
worker-0166         idle        266       2026-09-02
worker-0167         draining    267       2026-09-02
worker-0168         running     268       2026-09-02
worker-0169         idle        269       2026-09-02
worker-0170         draining    270       2026-09-02
worker-0171         running     271       2026-09-02
worker-0172         idle        272       2026-09-02
worker-0173         draining    273       2026-09-02
worker-0174         running     274       2026-09-02
worker-0175         idle        275       2026-09-02
worker-0176         draining    276       2026-09-02
worker-0177         running     277       2026-09-02
worker-0178         idle        278       2026-09-02
worker-0179         draining    279       2026-09-02
worker-0180         running     280       2026-09-02
worker-0181         idle        281       2026-09-02
worker-0182         draining    282       2026-09-02
worker-0183         running     283       2026-09-02
worker-0184         idle        284       2026-09-02
worker-0185         draining    285       2026-09-02
worker-0186         running     286       2026-09-02
worker-0187         idle        287       2026-09-02
worker-0188         draining    288       2026-09-02
worker-0189         running     289       2026-09-02
worker-0190         idle        290       2026-09-02
worker-0191         draining    291       2026-09-02
worker-0192         running     292       2026-09-02
worker-0193         idle        293       2026-09-02
worker-0194         draining    294       2026-09-02
worker-0195         running     295       2026-09-02
worker-0196         idle        296       2026-09-02
worker-0197         draining    297       2026-09-02
worker-0198         running     298       2026-09-02
worker-0199         idle        299       2026-09-02
worker-0200         draining    300       2026-09-02
worker-0201         running     301       2026-09-02
worker-0202         idle        302       2026-09-02
worker-0203         draining    303       2026-09-02
worker-0204         running     304       2026-09-02
worker-0205         idle        305       2026-09-02
worker-0206         draining    306       2026-09-02
worker-0207         running     307       2026-09-02
worker-0208         idle        308       2026-09-02
worker-0209         draining    309       2026-09-02
worker-0210         running     310       2026-09-02
worker-0211         idle        311       2026-09-02
worker-0212         draining    312       2026-09-02
worker-0213         running     313       2026-09-02
worker-0214         idle        314       2026-09-02
worker-0215         draining    315       2026-09-02
worker-0216         running     316       2026-09-02
worker-0217         idle        317       2026-09-02
worker-0218         draining    318       2026-09-02
worker-0219         running     319       2026-09-02
worker-0220         idle        320       2026-09-02
worker-0221         draining    321       2026-09-02
worker-0222         running     322       2026-09-02
worker-0223         idle        323       2026-09-02
worker-0224         draining    324       2026-09-02
worker-0225         running     325       2026-09-02
worker-0226         idle        326       2026-09-02
worker-0227         draining    327       2026-09-02
worker-0228         running     328       2026-09-02
worker-0229         idle        329       2026-09-02
worker-0230         draining    330       2026-09-02
worker-0231         running     331       2026-09-02
worker-0232         idle        332       2026-09-02
worker-0233         draining    333       2026-09-02
worker-0234         running     334       2026-09-02
worker-0235         idle        335       2026-09-02
worker-0236         draining    336       2026-09-02
worker-0237         running     337       2026-09-02
worker-0238         idle        338       2026-09-02
worker-0239         draining    339       2026-09-02
worker-0240         running     340       2026-09-02
worker-0241         idle        341       2026-09-02
worker-0242         draining    342       2026-09-02
worker-0243         running     343       2026-09-02
worker-0244         idle        344       2026-09-02
worker-0245         draining    345       2026-09-02
worker-0246         running     346       2026-09-02
worker-0247         idle        347       2026-09-02
worker-0248         draining    348       2026-09-02
worker-0249         running     349       2026-09-02
worker-0250         idle        350       2026-09-02
worker-0251         draining    351       2026-09-02
worker-0252         running     352       2026-09-02
worker-0253         idle        353       2026-09-02
worker-0254         draining    354       2026-09-02
worker-0255         running     355       2026-09-02
worker-0256         idle        356       2026-09-02
worker-0257         draining    357       2026-09-02
worker-0258         running     358       2026-09-02
worker-0259         idle        359       2026-09-02
